comment_id,video_id,author_name,author_channel_id,text,likes,published_at,updated_at,is_reply,parent_id,reply_count,scraped_at
UgwnXJVOkPF3AvcMTh94AaABAg,xwLrHUwGtJM,@yaagrace1060,,BURLANDDD 🎉❤❤. The best podcast ever!!,9,2026-03-07T01:39:51.486671+00:00,,0,,0,2026-03-17T22:00:50.433023
UgzSMqKZU8GmAhFpQaB4AaABAg,xwLrHUwGtJM,@the_misspee,,She shared alots❤,6,2026-03-07T01:39:51.486646+00:00,,0,,0,2026-03-17T22:00:50.431730
UgwLJES-zvqEBfUoZ_14AaABAg,xwLrHUwGtJM,@samuellayeboah5975,,"Very inspired❤❤
I will one day be on this podcast",4,2026-03-07T01:39:51.486592+00:00,,0,,0,2026-03-17T22:00:50.422505
Ugz1yFVq4JtOzJfoGtB4AaABAg,xwLrHUwGtJM,@nanahemaa8993,,"Oh my God, You don’t know what this interview has done for me ❤ thank you very much for this 
I REALLY LOVE YOU AMA❤",5,2026-03-07T01:39:51.486567+00:00,,0,,0,2026-03-17T22:00:50.421433
UgzQnZWONjbAImDY6sV4AaABAg,xwLrHUwGtJM,@kasujjahadijah5326,,Woow I hv enjoyed this podcast. From uganda 🇺🇬,7,2026-03-07T01:39:51.486486+00:00,,0,,0,2026-03-17T22:00:50.419724
Ugwe-VMiBzSqzupionJ4AaABAg,xwLrHUwGtJM,@hannahhabibatanya6614,,"OMG…I love Princess so much ❤❤❤
I’ve learnt a lot from this podcast, very educative!!!",8,2026-03-07T01:39:50.832549+00:00,,0,,0,2026-03-17T22:00:50.417784
UgyC-WKn09hWa5sdCFN4AaABAg,xwLrHUwGtJM,@eileenyemoteley,,Ama Burland is right. Faceless is one of the best Books I’ve read💛,9,2026-03-07T01:39:50.832517+00:00,,0,,0,2026-03-17T22:00:50.412533
UgwKrf7R_vQ6PKeo6914AaABAg,xwLrHUwGtJM,@maameserwahdonkor,,She's full of life and intelligent.I appreciate that she was open and as a Millennial who dislikes cameras i'm actually inspired.This was a fun and informative interview to watch.,4,2026-03-07T01:39:50.832502+00:00,,0,,0,2026-03-17T22:00:50.410675
UgwLcHj95X8lgvpCwMl4AaABAg,xwLrHUwGtJM,@YIF.Agency_Lisa,,😂😂 everything about this lady is a vibe!! My favorite gen z 😂😂,12,2026-03-07T01:39:50.832471+00:00,,0,,0,2026-03-17T22:00:50.409046
UgxAtbx8UkO2lIvdkR54AaABAg,xwLrHUwGtJM,@Tunderahman,,kudos to the editor... wow,37,2026-03-07T01:39:50.832446+00:00,,0,,0,2026-03-17T22:00:50.402638
Ugyx7dsSz__9SoDMmAJ4AaABAg,xwLrHUwGtJM,@harunasdairy,,The long awaited episode,28,2026-03-07T01:39:50.832428+00:00,,0,,0,2026-03-17T22:00:50.397253
UgwqEZWZgfVRoZEW19t4AaABAg,xwLrHUwGtJM,@_ririi,,😔free ads especially for young students in businesses that would really help all the same this was very inspiring to watch ngl,7,2026-03-07T01:39:50.832352+00:00,,0,,0,2026-03-17T22:00:50.399973
UgwRtwSjP9YUcIZRfCZ4AaABAg,xwLrHUwGtJM,@TalesbyKayy,,I am gonna be on here one day......I must say I am wowed with the plans you have for ghana as a whole. May we all be great!!,13,2026-03-07T01:39:50.214750+00:00,,0,,0,2026-03-17T22:00:50.399425
UgzfO3WRSkcjfrX52Kt4AaABAg,xwLrHUwGtJM,@HarrietAgyei-u8x,,the interviewer is being interviewed 🤣🤣🤣,86,2026-03-07T01:39:50.214740+00:00,,0,,0,2026-03-17T22:00:50.396424
Ugy7I3lVpdLSpepaHjV4AaABAg,xwLrHUwGtJM,@Kayb-f2l,,"They are not your step siblings, they are your half siblings.",54,2026-03-07T01:39:50.214697+00:00,,0,,0,2026-03-17T22:00:50.400451
Ugx1RghVyM4OHcabxbV4AaABAg,xwLrHUwGtJM,@edwinagyekyemensah1555,,"Just when I opened YouTube and seeing Ama’s face, I just smiled and listened through and made it to the end. Loved every bit. 
A free Ad can really help small business owners like myself.",18,2026-03-07T01:39:50.214677+00:00,,0,,0,2026-03-17T22:00:50.396841
UgxrTxYLUlzbQwSNTLN4AaABAg,xwLrHUwGtJM,@lilyagyemang6955,,"I think Ama blew up one because she’s beautiful, funny and intelligent . She took advantage of everything good she has and built on it . Also the kind of mindset she has is as a results of the home she’s coming from and her upbringing. She has a likeable personality although at first I find her off abit when she was rude on Twitter but now I have come to understand her better . And Derrick I haven’t seen you laugh and smiled a lot in any of your discussions with a guest like you did with Ama 😊 . I guess you’re a big fan of her as well 😅",47,2026-03-07T01:39:50.214655+00:00,,0,,0,2026-03-17T22:00:50.395282
UgxlsgZfRiHCYzaSRSh4AaABAg,xwLrHUwGtJM,@PreciousPatsu-f8z1b,,"And SHE spoke right to my soul, I'm inspired ❤",34,2026-03-07T01:39:50.214632+00:00,,0,,0,2026-03-17T22:00:50.395683
UgzC_Km_QtkKCyFGLeV4AaABAg,xwLrHUwGtJM,@EUNIQ77,,"Next year by this time I know you will interview me as well,kudos to Ama",54,2026-03-07T01:39:50.214609+00:00,,0,,0,2026-03-17T22:00:50.393983
UgwDjjQoMEtmBAn82Sd4AaABAg,xwLrHUwGtJM,@adomaserwaa572,,It feels like Diary of a CEO Ghana version,142,2026-03-07T01:39:50.214583+00:00,,0,,0,2026-03-17T22:00:50.392262
